device_id,time_start,time_end,activity,km,dir,min,km/h,points,ol_line_type,ol_line_name,nl_line_type,nl_line_name,st_line_type,st_line_name
132,"2016-08-26 13:42:00","2016-08-26 13:44:45",WALKING,0,N,3,5,7,,,,,,
132,"2016-08-26 13:45:42","2016-08-26 13:48:24",IN_VEHICLE,1,S,3,24,8,,,,,,
132,"2016-08-26 13:49:26","2016-08-26 13:58:42",WALKING,0,W,9,3,34,,,,,,
132,"2016-08-26 13:59:48","2016-08-26 14:14:14",IN_VEHICLE,2,SW,14,7,13,,,,,,
132,"2016-08-26 14:15:42","2016-08-26 14:19:34",WALKING,0,NW,4,1,9,,,,,,
132,"2016-08-26 14:20:17","2016-08-26 14:29:23",IN_VEHICLE,1,NE,9,8,24,,,,,,
132,"2016-08-26 14:39:47","2016-08-26 14:52:22",IN_VEHICLE,5,NE,13,23,29,,,,,SUBWAY,Kamppi - Mellunmäki
132,"2016-08-26 14:52:44","2016-08-26 15:00:09",WALKING,0,W,7,1,24,,,,,,
132,"2016-08-26 15:01:12","2016-08-26 15:16:46",IN_VEHICLE,6,SW,16,23,46,,,,,SUBWAY,Ruoholahti - Vuosaari
132,"2016-08-26 15:17:06","2016-08-26 15:22:20",WALKING,0,NW,5,2,25,,,,,,
132,"2016-08-26 15:23:00","2016-08-26 15:43:43",IN_VEHICLE,5,NW,21,15,83,,,,,,
132,"2016-08-26 15:44:15","2016-08-26 15:54:02",WALKING,1,NW,10,3,42,,,,,,
170,"2016-08-26 09:30:45","2016-08-26 09:36:30",WALKING,0,NW,6,3,12,,,,,,
170,"2016-08-26 09:38:15","2016-08-26 09:41:02",IN_VEHICLE,0,NE,3,8,12,TRAM,7B,TRAM,3,TRAM,9
170,"2016-08-26 09:41:12","2016-08-26 09:42:25",ON_BICYCLE,0,E,1,9,7,,,,,,
170,"2016-08-26 09:43:08","2016-08-26 09:45:15",IN_VEHICLE,0,NE,2,8,10,TRAM,2,TRAM,1,,
170,"2016-08-26 09:45:26","2016-08-26 09:53:10",WALKING,0,N,8,3,29,,,,,,
170,"2016-08-26 09:56:40","2016-08-26 10:03:16",IN_VEHICLE,5,N,7,41,15,,,,,,
170,"2016-08-26 10:04:30","2016-08-26 10:06:49",WALKING,0,E,2,0,8,,,,,,
170,"2016-08-26 10:07:32","2016-08-26 10:11:10",IN_VEHICLE,4,SW,4,58,22,,,,,,
170,"2016-08-26 10:11:42","2016-08-26 10:14:07",WALKING,0,SE,2,2,7,,,,,,
170,"2016-08-26 10:14:27","2016-08-26 10:38:15",IN_VEHICLE,3,SE,24,7,77,TRAM,7A,TRAM,7A,,
170,"2016-08-26 10:40:20","2016-08-26 10:45:38",WALKING,0,SE,5,0,22,,,,,,
170,"2016-08-26 10:45:59","2016-08-26 10:53:39",IN_VEHICLE,4,NE,8,33,18,,,SUBWAY,V,SUBWAY,Ruoholahti - Mellunmäki
170,"2016-08-26 10:54:10","2016-08-26 11:03:42",WALKING,0,N,10,0,27,,,,,,
170,"2016-08-26 11:04:55","2016-08-26 11:14:10",IN_VEHICLE,5,NE,9,34,30,,,,,SUBWAY,Ruoholahti - Mellunmäki
170,"2016-08-26 11:14:32","2016-08-26 11:23:38",WALKING,0,NE,9,1,29,,,,,,
170,"2016-08-26 11:23:59","2016-08-26 11:31:36",IN_VEHICLE,2,W,8,12,18,,,,,,
170,"2016-08-26 11:31:57","2016-08-26 11:36:03",WALKING,0,SW,4,2,18,,,,,,
170,"2016-08-26 11:36:32","2016-08-26 11:46:49",IN_VEHICLE,2,S,10,14,26,,,,,,
170,"2016-08-26 11:47:21","2016-08-26 12:08:03",WALKING,0,SE,21,0,45,,,,,,
170,"2016-08-26 13:14:35","2016-08-26 13:19:49",WALKING,0,SW,5,1,13,,,,,,
170,"2016-08-26 13:21:20","2016-08-26 13:31:57",IN_VEHICLE,7,W,11,40,34,SUBWAY,V,SUBWAY,V,SUBWAY,Ruoholahti - Vuosaari
170,"2016-08-26 13:32:39","2016-08-26 13:41:22",WALKING,0,W,9,0,20,,,,,,
170,"2016-08-26 13:45:12","2016-08-26 13:47:30",IN_VEHICLE,1,S,2,28,7,SUBWAY,V,SUBWAY,V,,
170,"2016-08-26 13:47:51","2016-08-26 13:55:18",WALKING,0,N,7,0,13,,,,,,
170,"2016-08-26 13:57:00","2016-08-26 14:02:39",IN_VEHICLE,2,SW,6,22,13,,,,,SUBWAY,Ruoholahti - Vuosaari
170,"2016-08-26 14:03:10","2016-08-26 14:25:13",WALKING,0,E,22,1,38,,,,,,
170,"2016-08-26 14:26:04","2016-08-26 14:31:10",IN_VEHICLE,1,NE,5,9,13,TRAM,9,TRAM,9,TRAM,9
170,"2016-08-26 14:32:02","2016-08-26 14:40:59",WALKING,0,NE,9,2,20,,,,,,
170,"2016-08-26 15:09:48","2016-08-26 15:14:47",WALKING,0,W,5,3,7,,,,,,
170,"2016-08-26 15:15:29","2016-08-26 15:20:13",IN_VEHICLE,3,NE,5,42,12,,,,,,
170,"2016-08-26 15:20:24","2016-08-26 15:24:14",WALKING,1,W,4,11,8,,,,,,
170,"2016-08-26 15:41:39","2016-08-26 15:58:40",WALKING,1,SW,17,4,25,,,,,,
174,"2016-08-26 09:03:45","2016-08-26 09:19:18",IN_VEHICLE,3,NW,16,11,46,,,,,,
174,"2016-08-26 09:19:29","2016-08-26 09:21:36",ON_BICYCLE,0,NE,2,4,13,,,,,,
174,"2016-08-26 09:21:46","2016-08-26 09:28:31",WALKING,0,NE,7,2,20,,,,,,
174,"2016-08-26 09:29:13","2016-08-26 09:43:27",IN_VEHICLE,11,E,14,48,65,,,,,TRAIN,U
174,"2016-08-26 09:43:38","2016-08-26 09:52:20",WALKING,0,NE,9,2,41,,,,,,
174,"2016-08-26 09:58:03","2016-08-26 10:14:13",IN_VEHICLE,3,SE,16,10,47,,,,,,
174,"2016-08-26 10:14:24","2016-08-26 10:18:54",ON_BICYCLE,0,S,5,3,21,,,,,,
174,"2016-08-26 10:22:04","2016-08-26 10:52:10",WALKING,1,SE,30,2,107,,,,,,
174,"2016-08-26 10:52:30","2016-08-26 11:03:28",IN_VEHICLE,1,NW,11,6,60,BUS,16,BUS,16,BUS,16
174,"2016-08-26 11:03:38","2016-08-26 11:05:58",ON_BICYCLE,0,N,2,2,8,,,,,,
174,"2016-08-26 11:09:19","2016-08-26 11:14:28",IN_VEHICLE,2,SW,5,20,9,,,,,,
174,"2016-08-26 11:14:43","2016-08-26 11:18:12",WALKING,0,S,3,7,12,,,,,,
