"time","device_id","lat","lng","accuracy","activity_1","activity_1_conf","activity_2","activity_2_conf","activity_3","activity_3_conf"
"2016-08-26 09:07:23.805",1,60.163186,24.703265,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:07:30.598",3,60.169443,24.806277,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:07:34.8",1,60.162379,24.703341,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:07:40.604",3,60.16926,24.810372,4,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:07:45.785",1,60.161792,24.703534,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:07:51.609",3,60.1693,24.814642,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:07:56.783",1,60.161264,24.70408,3,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:08:01.793",3,60.169316,24.818565,4,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:08:12.6",3,60.169128,24.822399,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:08:17.782",1,60.160587,24.704792,3,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:08:22.616",3,60.168764,24.82497,4,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:08:27.788",1,60.159659,24.705666,4,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:08:32.618",3,60.168363,24.824176,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:08:37.179",5,60.195155,24.767629,39,"UNKNOWN",52,"IN_VEHICLE",19,"WALKING",18
"2016-08-26 09:08:38.788",1,60.159336,24.706463,4,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:08:43.786",3,60.169511,24.823489,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:08:47.779",5,60.196437,24.765925,15,"UNKNOWN",52,"IN_VEHICLE",19,"WALKING",18
"2016-08-26 09:08:48.793",1,60.159614,24.707356,5,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:08:54.749",3,60.170584,24.82452,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:08:58.786",5,60.197113,24.76571,10,"UNKNOWN",52,"IN_VEHICLE",19,"WALKING",18
"2016-08-26 09:08:58.794",1,60.159879,24.707822,4,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:09:04.801",3,60.171735,24.826072,4,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:09:09.448",5,60.197133,24.765734,10,"IN_VEHICLE",74,"STILL",13,"UNKNOWN",13
"2016-08-26 09:09:15.589",3,60.172984,24.826839,4,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:09:19.47",5,60.197335,24.765455,5,"UNKNOWN",50,"IN_VEHICLE",43,"STILL",8
"2016-08-26 09:09:20.796",1,60.160388,24.709086,6,"UNKNOWN",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:09:25.627",3,60.174194,24.827451,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:09:30.346",5,60.198114,24.764237,5,"UNKNOWN",50,"IN_VEHICLE",43,"STILL",8
"2016-08-26 09:09:31.788",1,60.160876,24.712133,3,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:09:36.615",3,60.175474,24.827901,4,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:09:40.359",5,60.199076,24.763546,5,"UNKNOWN",50,"IN_VEHICLE",43,"STILL",8
"2016-08-26 09:09:41.789",1,60.161095,24.715871,6,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:09:46.795",3,60.17647,24.828592,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:09:50.45",5,60.199894,24.763026,5,"UNKNOWN",50,"IN_VEHICLE",43,"STILL",8
"2016-08-26 09:09:52.793",1,60.161234,24.719886,6,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:09:56.797",3,60.17666,24.828799,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:10:01.457",5,60.200063,24.762818,5,"IN_VEHICLE",54,"STILL",38,"ON_BICYCLE",8
"2016-08-26 09:10:02.788",1,60.161419,24.723371,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:10:07.605",3,60.177091,24.828795,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:10:12.371",5,60.200159,24.762666,10,"IN_VEHICLE",69,"STILL",31,"UNKNOWN",0
"2016-08-26 09:10:12.792",1,60.1617,24.726501,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:10:23.353",5,60.20093,24.762212,10,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:10:23.789",1,60.16199,24.729146,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:10:30.596",3,60.178041,24.826449,48.7809982299805,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:10:34.347",5,60.202195,24.761352,5,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:10:34.79",1,60.162262,24.731688,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:10:44.449",5,60.203123,24.760737,5,"IN_VEHICLE",92,"UNKNOWN",8,"UNKNOWN",0
"2016-08-26 09:10:45.79",1,60.162552,24.733979,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:10:50.087",3,60.179437,24.82392,42,"IN_VEHICLE",46,"UNKNOWN",46,"STILL",8
"2016-08-26 09:10:55.369",5,60.203559,24.760773,5,"IN_VEHICLE",77,"STILL",8,"UNKNOWN",8
"2016-08-26 09:10:56.783",1,60.162764,24.735792,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:11:06.787",1,60.16287,24.736536,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:11:10.271",3,60.180568,24.825101,29.3120002746582,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:11:16.791",1,60.162839,24.736541,11,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:11:27.334",5,60.203804,24.760942,5,"IN_VEHICLE",77,"STILL",8,"UNKNOWN",8
"2016-08-26 09:11:28.477",3,60.181793,24.821419,48.4910011291504,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:11:37.352",5,60.204187,24.760146,10,"IN_VEHICLE",77,"STILL",8,"UNKNOWN",8
"2016-08-26 09:11:37.79",1,60.162887,24.736696,10,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:11:48.215",3,60.182158,24.819143,39,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:11:48.35",5,60.204211,24.760023,5,"IN_VEHICLE",62,"STILL",31,"UNKNOWN",8
"2016-08-26 09:11:48.786",1,60.163311,24.738516,20,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:11:58.791",1,60.164143,24.740941,12,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:12:08.794",1,60.16492,24.74412,11,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:12:09.353",5,60.204369,24.759557,5,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:12:09.601",3,60.183821,24.815549,43.0519981384277,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:12:18.085",1,60.165478,24.747268,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:12:19.37",5,60.205032,24.758221,5,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:12:28.09",1,60.165841,24.750286,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:12:29.752",3,60.184455,24.816783,45.6459999084473,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:12:30.351",5,60.206054,24.756047,5,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:12:39.72",1,60.165954,24.753431,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:12:41.325",5,60.206914,24.75407,5,"IN_VEHICLE",54,"STILL",31,"ON_BICYCLE",8
"2016-08-26 09:12:42.831",3,60.184872,24.819139,43.5,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:12:49.728",1,60.166004,24.756694,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:12:51.349",5,60.207211,24.753456,5,"IN_VEHICLE",35,"UNKNOWN",31,"STILL",15
"2016-08-26 09:13:00.717",1,60.16656,24.760866,11,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:13:10.221",3,60.186846,24.822385,45,"IN_VEHICLE",54,"WALKING",31,"UNKNOWN",15
"2016-08-26 09:13:10.718",1,60.166813,24.764543,11,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:13:21.718",1,60.167173,24.768022,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
"2016-08-26 09:13:32.716",1,60.167408,24.771075,10,"IN_VEHICLE",75,"ON_BICYCLE",5,"STILL",5
